Number,Class,Title,Level,Points,URL
1105,AD-HOC,Sub-prime,5,5.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1105
1106,PARADIGMAS,Dragster,7,7.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1106
1107,AD-HOC,Escultura à Laser,4,4.7,https://www.urionlinejudge.com.br/judge/pt/problems/view/1107
1108,GEOMETRIA COMPUTACIONAL,Torres de Telefonia Celular,9,9.8,https://www.urionlinejudge.com.br/judge/pt/problems/view/1108
1109,AD-HOC,Burlando a Maratona,10,10.7,https://www.urionlinejudge.com.br/judge/pt/problems/view/1109
1110,ESTRUTURAS E BIBLIOTECAS,Jogando Cartas Fora,3,3.9,https://www.urionlinejudge.com.br/judge/pt/problems/view/1110
1111,GRAFOS,Desrugenstein,7,7.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1111
1112,ESTRUTURAS E BIBLIOTECAS,Schweisen,9,9.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1112
1113,INICIANTE,Crescente e Decrescente,1,1.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1113
1114,INICIANTE,Senha Fixa,1,1.6,https://www.urionlinejudge.com.br/judge/pt/problems/view/1114
1115,INICIANTE,Quadrante,1,1.4,https://www.urionlinejudge.com.br/judge/pt/problems/view/1115
1116,INICIANTE,Dividindo X por Y,1,1.8,https://www.urionlinejudge.com.br/judge/pt/problems/view/1116
1117,INICIANTE,Validação de Nota,1,1.4,https://www.urionlinejudge.com.br/judge/pt/problems/view/1117
1118,INICIANTE,Várias Notas Com Validação,3,3.1,https://www.urionlinejudge.com.br/judge/pt/problems/view/1118
1119,ESTRUTURAS E BIBLIOTECAS,A Fila de Desempregados,4,4.9,https://www.urionlinejudge.com.br/judge/pt/problems/view/1119
1120,STRINGS,Revisão de Contrato,5,5.4,https://www.urionlinejudge.com.br/judge/pt/problems/view/1120
1121,AD-HOC,Robô Colecionador,4,4.9,https://www.urionlinejudge.com.br/judge/pt/problems/view/1121
1122,AD-HOC,Livro-Caixa,7,7.5,https://www.urionlinejudge.com.br/judge/pt/problems/view/1122
1123,GRAFOS,Desvio de Rota,4,4.4,https://www.urionlinejudge.com.br/judge/pt/problems/view/1123
1124,GEOMETRIA COMPUTACIONAL,Elevador,8,8.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1124
1125,AD-HOC,Fórmula 1,3,3.4,https://www.urionlinejudge.com.br/judge/pt/problems/view/1125
